Sector,Actividad_General,Actividad_Especifica,AEE,AE,AFE,AF,FPE,FP,FCE,FC
Agrícola,Intensiva,Cultivos básicos y forrajeros,A,A,A,A,A,P,P,P
Agrícola,Intensiva,Uso de agroquímicos,A,A,A,A,P,P,P,P
Agrícola,Extensiva,Cultivos básicos y forrajeros,A,A,A,P,P,P,P,P
Agrícola,Extensiva,Uso de agroquímicos,A,A,A,A,P,P,P,P
Agrícola,Tecnologías y métodos,Tradicional,A,A,A,A,A,P,P,P
Agrícola,Tecnologías y métodos,Uso de maquinaria,A,A,A,P,P,P,P,P
Agrícola,Tecnologías y métodos,Quemas,P,P,P,P,P,P,P,P
Agrícola,Tecnologías y métodos,Construcción de bordos,A,A,A,A,P,P,P,P
Agrícola,Tecnologías y métodos,Construcción de terrazas,A,A,A,P,P,P,P,P
Agrícola,Tecnologías y métodos,Deshierbe,A,A,A,P,P,P,P,P
Agrícola,Mejoramiento de suelos,Prácticas agroecológicas,A,A,A,A,A,P,P,P
Agrícola,Mejoramiento de suelos,Pesticidas y herbicidas,P,P,P,P,P,P,P,P
Agrícola,Mejoramiento de suelos,Abonos orgánicos y lombricultura,A,A,A,A,A,A,A,A
Pecuario,Ganadería,Libre,A,A,A,P,P,P,P,P
Pecuario,Ganadería,Semiestabulado,P,A,A,A,A,P,P,P
Pecuario,Ganadería,Estabulado,P,A,A,A,A,P,P,P
Pecuario,Ganadería,Quemas,P,P,P,P,P,P,P,P
Pecuario,Ganadería,Introducción de especies exóticas forrajeras,A,A,A,A,A,P,P,P
Pecuario,Ganadería,Uso de excretas para mejoramiento de suelos,A,A,A,A,A,A,A,P
Pecuario,Ganadería,Deshierbe,A,A,A,P,P,P,P,P
Pecuario,Ganadería,Deshecho de excretas y residuos,P,A,A,P,P,P,P,P
Pecuario,Apicultura,Apicultura,A,A,A,A,A,A,A,A
Forestal,Maderable,Leña para uso doméstico y cultural,A,A,A,A,A,A,A,A
